Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Archive Dragon,WOE,Wilds of Eldraine,41,foil,uncommon,1,85313,2979104f-7570-487c-8024-131d7ee3ab91,0.14,false,false,near_mint,zh_CN,USD
Hydroblast,EMA,Eternal Masters,55,normal,uncommon,1,8620,4c9c9b16-5567-4473-95e6-622292f77336,2.61,false,false,near_mint,zh_CN,USD
Sapphire Charm,MIR,Mirage,89,normal,common,1,38501,2944e5df-eef9-42be-a591-5ac15e306ad8,0.22,false,false,near_mint,zh_CN,USD
Curiosity,A25,Masters 25,52,normal,uncommon,1,2664,fdd040ac-7e96-4082-a2d9-13d7dd26829e,0.32,false,false,near_mint,zh_CN,USD
Gift of Tusks,OGW,Oath of the Gatewatch,55,normal,uncommon,1,9327,3821122c-c495-42b0-b8f6-3f469967f16d,0.11,false,false,near_mint,zh_CN,USD
High Tide,FEM,Fallen Empires,18b,normal,common,1,40348,c2813677-91cc-4c8b-a8ea-403fa776c9f0,1.15,false,false,near_mint,zh_CN,USD
Brainstorm,MKC,Murders at Karlov Manor Commander,96,normal,common,1,90431,84479779-d570-4eee-9982-f6e918b4d75b,2.0,false,false,near_mint,zh_CN,USD
Brainstorm,CNS,Conspiracy,91,normal,common,1,14329,7d14cecb-c425-4812-8d36-aecc406763c4,3.41,false,false,near_mint,zh_CN,USD
"Charix, the Raging Isle",ZNR,Zendikar Rising,325,foil,rare,1,54656,97982bcc-e1b1-4d21-b208-a6587613b8a1,1.35,false,false,near_mint,zh_CN,USD
Loyal Drake,C18,Commander 2018,10,normal,uncommon,1,833,1c719b37-6508-45bc-8cda-36aa85561e3b,2.17,false,false,near_mint,zh_CN,USD
Fraying Sanity,HOU,Hour of Devastation,35,normal,rare,1,4640,79e5c1ab-eebd-41ca-a1ca-29b00370f6e8,1.2,false,false,near_mint,zh_CN,USD
Mind Games,STH,Stronghold,38,normal,common,1,36607,4da50979-1f5d-48d1-9406-dfc785273c04,0.23,false,false,near_mint,zh_CN,USD
Mystic of the Hidden Way,UGIN,Ugin's Fate,48,normal,common,1,12183,7aa17b98-8347-48ab-8ed3-d1f12e5e5309,0.21,false,false,near_mint,zh_CN,USD
Nephalia Moondrakes,SOI,Shadows over Innistrad,75,normal,rare,1,8921,f714d6c4-b1e1-40dd-806f-a3d87020292e,0.24,false,false,near_mint,zh_CN,USD
Vedalken Humiliator,C18,Commander 2018,13,normal,rare,1,830,039dff9a-881f-4a3d-8680-7f560ef0ea7e,0.22,false,false,near_mint,zh_CN,USD
