Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Molten Psyche,SOM,Scars of Mirrodin,98,normal,rare,1,20934,57e2382d-1f27-40d1-b809-c188c19ebc72,4.41,false,false,near_mint,en,USD
Mogg War Marshal,DMR,Dominaria Remastered,131,normal,common,1,78071,a7f7f39c-94a0-4ccb-b658-23095ada4005,0.11,false,false,near_mint,en,USD
Skewer the Critics,RVR,Ravnica Remastered,124,foil,common,1,89652,43ca8f80-e9ed-483f-a8a7-ad6149811df9,0.17,false,false,near_mint,en,USD
Arclight Phoenix,RVR,Ravnica Remastered,427,normal,rare,1,89746,7257c33d-0070-40da-86fd-ad03bb88115d,1.35,false,false,near_mint,en,USD
Geological Appraiser,LCI,The Lost Caverns of Ixalan,150,normal,uncommon,1,88630,7f9c1a82-695b-4df2-8e51-2d71a62e7baf,0.06,false,false,near_mint,en,USD
Grotag Bug-Catcher,ZNR,Zendikar Rising,142,foil,common,1,54563,5b310b01-f9cb-48ce-8af3-5957d3abf098,0.07,false,false,near_mint,en,USD
Spitfire Lagac,ZNR,Zendikar Rising,302,normal,common,1,54712,b6008794-a7ca-4a3e-b88b-e5dbb9e0f39b,0.05,false,false,near_mint,en,USD
Shatterskull Charger,ZNR,Zendikar Rising,353,normal,rare,1,54816,f194ce88-3206-4263-9ae9-01a4c2f4467e,0.15,false,false,near_mint,en,USD
Rockslide Sorcerer,ZNR,Zendikar Rising,154,foil,uncommon,1,54784,e105c546-ce4f-49c7-97ba-ea5fbe70df82,0.17,false,false,near_mint,en,USD
Ashling the Pilgrim,DMC,Dominaria United Commander,119,normal,rare,1,71712,b60633ed-6428-4672-9497-9a17f823b981,0.18,false,false,near_mint,en,USD
Dragon Mantle,WOT,Wilds of Eldraine: Enchanting Tales,41,normal,uncommon,1,85559,8dc7ea40-f45d-4550-82f5-ded841d8746d,0.09,false,false,near_mint,en,USD
Violent Eruption,C19,Commander 2019,154,normal,uncommon,1,45780,419e6697-89ab-49f1-a867-8f86f001c80c,0.02,false,false,near_mint,en,USD
Volcanic Vision,DTK,Dragons of Tarkir,167,normal,rare,1,11647,979da13b-9be6-49cc-a62c-67eeea289612,0.4,false,false,near_mint,en,USD
Bloodfeather Phoenix,PMOM,March of the Machine Promos,132p,normal,rare,1,82284,63fdbacf-e292-4d2d-a318-b3a031fb1761,0.2,false,false,near_mint,en,USD
"Valduk, Keeper of the Flame",MUL,Multiverse Legends,24,foil,uncommon,1,81914,bc26c152-b1d4-4afe-90fb-fddd6c1e67e9,0.1,false,false,near_mint,en,USD
Lightning Bolt,MM2,Modern Masters 2015,122,normal,uncommon,1,11095,677da834-7f4a-4f60-9151-de7ddcf29622,0.97,false,false,near_mint,en,USD
Lightning Bolt,4ED,Fourth Edition,208,normal,common,1,39979,9521375e-0bc1-45ef-b513-6d332a25f9d2,1.65,false,false,near_mint,en,USD
"Chandra, Fire of Kaladesh // Chandra, Roaring Flame",V17,From the Vault: Transform,6,foil,mythic,1,3311,7e0cfe44-9b57-4b9a-b23f-18d3237bd7ee,3.37,false,false,near_mint,en,USD
Agitator Ant,MKC,Murders at Karlov Manor Commander,145,normal,rare,1,90504,bc63ff71-ff42-4baf-977b-55f69c8e122f,0.12,false,false,near_mint,en,USD
Dark-Dweller Oracle,2X2,Double Masters 2022,106,foil,common,1,70464,bd35664f-b99d-46b6-988e-8f2814b0a854,0.16,false,false,near_mint,en,USD
"Goro-Goro, Disciple of Ryusei",NEO,Kamigawa: Neon Dynasty,145,normal,rare,1,66331,1ca736c7-35a9-48c7-b5a9-69b2a6e33ad0,0.67,false,false,near_mint,en,USD
"Kari Zev, Skyship Raider",DMC,Dominaria United Commander,123,normal,rare,1,71443,52de8af2-d260-42a8-b8c2-b26b392632d1,0.12,false,false,near_mint,en,USD
Molten Frame,CON,Conflux,69,foil,common,1,23660,58356504-e28e-456c-b1d3-e6232f4d78a6,0.35,false,false,near_mint,en,USD
Flick a Coin,WOE,Wilds of Eldraine,128,normal,common,1,85461,673a67b2-fbb0-4be4-9edd-93946a583f23,0.1,false,false,near_mint,en,USD
Kiln Fiend,IMA,Iconic Masters,137,normal,common,1,3488,8c89e7c4-7864-4031-a9e5-38b5d47290ff,0.09,false,false,near_mint,en,USD
Bedlam Reveler,EMN,Eldritch Moon,118,normal,rare,1,8217,0232f188-44f2-4aee-963c-6f6edc4a21ac,0.18,false,false,near_mint,en,USD
Scourge of the Throne,MKC,Murders at Karlov Manor Commander,160,normal,rare,1,90374,63a2993d-0f0e-4386-89d7-1d046c02683d,0.24,false,false,near_mint,en,USD
Krenko's Command,M13,Magic 2013,139,normal,common,1,17684,84df41e9-e973-4441-b17f-434517134d46,0.17,false,false,near_mint,en,USD
Hanweir Garrison,EMN,Eldritch Moon,130a,normal,rare,1,8205,0900e494-962d-48c6-8e78-66a489be4bb2,1.67,false,false,near_mint,en,USD
"Orthion, Hero of Lavabrink",MOM,March of the Machine,334,normal,rare,1,81112,71dadbb3-7b8a-4656-973f-65a3284afe07,10.01,false,false,near_mint,en,USD
"Valduk, Keeper of the Flame",MUL,Multiverse Legends,24,normal,uncommon,1,81914,bc26c152-b1d4-4afe-90fb-fddd6c1e67e9,0.09,false,false,near_mint,en,USD
Goblin Banneret,2X2,Double Masters 2022,110,normal,uncommon,1,70513,cf20cfd7-81f4-423c-a662-c4b6676edfdd,0.04,false,false,near_mint,en,USD
Hate Mirage,C19,Commander 2019,26,normal,uncommon,1,45908,9e58b2ad-0c5e-468e-983a-45d412454a67,0.1,false,false,near_mint,en,USD
Insult // Injury,AKH,Amonkhet,213,normal,rare,1,5472,eeac671f-2606-43ed-ad60-a69df5c150f6,1.44,false,false,near_mint,en,USD
Sulfuric Vortex,DMR,Dominaria Remastered,332,normal,rare,1,77807,1d446b8b-1b09-4fef-8454-95ad272503c0,0.65,false,false,near_mint,en,USD
Staggershock,2X2,Double Masters 2022,125,normal,uncommon,1,70235,56976d52-053d-49e9-94c0-f21dc13029ac,0.05,false,false,near_mint,en,USD
Dreamshaper Shaman,2X2,Double Masters 2022,108,foil,uncommon,1,70471,c11f5d27-37f3-430a-833c-84e249b5e744,0.07,false,false,near_mint,en,USD
Enterprising Scallywag,LCI,The Lost Caverns of Ixalan,148,normal,uncommon,1,88443,44420f52-2ed8-4f81-93e4-5decc77bed01,0.04,false,false,near_mint,en,USD
Smokebraider,MM2,Modern Masters 2015,125,normal,common,1,11092,bf6090f5-dfee-4c3f-8257-7707fb6abf2c,0.12,false,false,near_mint,en,USD
Lightning Storm,CSP,Coldsnap,89,normal,uncommon,1,27152,c9c0388e-a04c-4757-a06d-8e8046f5a783,0.32,false,false,near_mint,en,USD
Draconic Roar,IMA,Iconic Masters,123,normal,common,3,3502,11c57c26-500b-4ca2-9c47-f2a0e31975b3,0.12,false,false,near_mint,en,USD
Two-Headed Hunter // Twice the Rage,WOE,Wilds of Eldraine,155,normal,uncommon,1,85481,70c12e75-7e65-4706-b976-e47835910928,0.04,false,false,near_mint,en,USD
Strangle,SCH,Store Championships,10,normal,rare,1,82127,b63ca355-d66d-4259-8d6e-34ec2ba71e6e,0.25,false,false,near_mint,en,USD
Lightning Bolt,M11,Magic 2011,149,normal,common,4,21240,e768c957-3a1f-42f5-853a-96942f645df5,0.81,false,false,near_mint,en,USD
Hoarding Dragon,IMA,Iconic Masters,134,normal,uncommon,1,3491,5c6cd59a-f184-4e8e-885e-36fbceddfc06,0.13,false,false,near_mint,en,USD
Temur Battle Rage,FRF,Fate Reforged,116,normal,common,2,12010,8a1dd786-f4e3-4951-b87b-82442edec016,0.21,false,false,near_mint,en,USD
Outpost Siege,FRF,Fate Reforged,110,normal,rare,1,12016,880f6602-f335-4ad8-9e2f-f32b6d715f72,0.24,false,false,near_mint,en,USD
Spiked Corridor // Torture Pit,DSC,Duskmourn: House of Horror Commander,28,normal,rare,1,99314,b90164a1-8b0a-4445-a0ad-43e4c3324925,1.35,false,false,near_mint,en,USD
Grab the Prize,DSK,Duskmourn: House of Horror,138,normal,common,1,98823,50895202-f1a1-4840-a11a-55b78b8b5929,0.13,false,false,near_mint,en,USD
Song-Mad Treachery // Song-Mad Ruins,ZNR,Zendikar Rising,165,foil,uncommon,1,54613,782ca27f-9f18-476c-b582-89c06fb2e322,0.33,false,false,near_mint,en,USD
Hellkite Igniter,C18,Commander 2018,124,normal,rare,1,719,01d74967-10b2-424b-a0d6-8b35bf99a2a0,0.16,false,false,near_mint,en,USD
Hexplate Wallbreaker,ONC,Phyrexia: All Will Be One Commander,52,normal,rare,1,78505,3a7351aa-4ace-405c-9ffb-dc89d00cdf5c,5.6,false,false,near_mint,en,USD
Blazing Shoal,PLST,The List,BOK-96,normal,rare,1,66846,f719c6e2-271d-410e-8610-4171767ab887,9.78,false,false,near_mint,en,USD
"Neheb, Dreadhorde Champion",DMC,Dominaria United Commander,125,normal,rare,1,71676,a8cbc3ba-f552-43fd-a59b-f3d8e3edd12f,0.29,false,false,near_mint,en,USD
Goblin Bombardment,WOT,Wilds of Eldraine: Enchanting Tales,43,normal,rare,1,85803,e92af114-ad34-4106-a7fa-5676dbcd4960,3.63,false,false,near_mint,en,USD
Orb of Dragonkind,AFR,Adventures in the Forgotten Realms,381,foil,rare,1,60281,70a7c198-da05-434f-bbef-4b5e8f0597cd,4.87,false,false,near_mint,en,USD
Berserkers' Onslaught,DTK,Dragons of Tarkir,130,normal,rare,1,11684,ee571a78-16b2-40ba-92b2-87c1bf4b39bc,0.67,false,false,near_mint,en,USD
Frantic Scapegoat,MKM,Murders at Karlov Manor,347,foil,uncommon,1,90800,3ae07b33-dcee-41aa-9886-38336d2aff7a,0.09,false,false,near_mint,en,USD
Wand of Wonder,CLB,Commander Legends: Battle for Baldur's Gate,204,foil,rare,1,67530,df67ec01-9d4c-4ae1-9c8a-f94d649c81bc,0.71,false,false,near_mint,en,USD
Pia and Kiran Nalaar,ORI,Magic Origins,157,normal,rare,1,10785,0dcafa9e-3637-42ca-bdb2-45a2b5da7294,0.18,false,false,near_mint,en,USD
Sawhorn Nemesis,M3C,Modern Horizons 3 Commander,60,normal,rare,1,94923,29b33e43-ffd5-4697-8261-9b4f5de36a19,1.17,false,false,near_mint,en,USD
Inspired Tinkering,CLB,Commander Legends: Battle for Baldur's Gate,183,foil,uncommon,1,69271,c1e6b1d3-1ac2-4f20-997e-25c93f1f7897,1.36,false,false,near_mint,en,USD
Firbolg Flutist,CLB,Commander Legends: Battle for Baldur's Gate,582,foil,rare,1,69097,738abf75-009d-439d-91d5-07545bccdb1f,0.33,false,false,near_mint,en,USD
Meltdown,MH3,Modern Horizons 3,418,foil,uncommon,1,94206,19eedd92-8386-4ca9-ad72-afa03fa4bb28,0.49,false,false,near_mint,en,USD
Kazuul's Fury // Kazuul's Cliffs,ZNR,Zendikar Rising,146,foil,uncommon,1,54610,75240bbc-adc7-48ff-9523-c79776d710d3,0.72,false,false,near_mint,en,USD
Prosperous Bandit,BLC,Bloomburrow Commander,25,normal,rare,1,96325,6b3a7194-25e8-4639-a490-96e9cfce0f84,0.23,false,false,near_mint,en,USD
Fiendish Duo,MKC,Murders at Karlov Manor Commander,153,normal,mythic,1,90577,ebb44595-56f6-4be5-80bb-618ddd320f4a,0.25,false,false,near_mint,en,USD
Pyreswipe Hawk,BLC,Bloomburrow Commander,26,normal,rare,1,96161,0cf88f89-9490-4477-b632-85c513e8c749,0.07,false,false,near_mint,en,USD
Prosperous Bandit,BLC,Bloomburrow Commander,59,normal,rare,1,96250,383bde13-c24c-4c3c-bc10-72287aae74de,0.63,false,false,near_mint,en,USD
Hellkite Charger,CMM,Commander Masters,232,normal,rare,1,84438,6836c646-83ff-4bf8-96dd-4cbdd6c7e861,2.16,false,false,near_mint,en,USD
"Etali, Primal Storm",DMC,Dominaria United Commander,121,normal,rare,1,71651,a03fb3a7-3ef6-4162-aad2-82610492aa72,0.36,false,false,near_mint,en,USD
Siege-Gang Lieutenant,M3C,Modern Horizons 3 Commander,113,normal,rare,1,94275,e22c2df5-ae00-4d71-ac60-6ea402b9036b,1.27,false,false,near_mint,en,USD
Warstorm Surge,C19,Commander 2019,155,normal,rare,1,45779,213e448e-8d8c-4ba8-aad1-93c4e6900b0d,0.8,false,false,near_mint,en,USD
Conspiracy Theorist,STX,Strixhaven: School of Mages,94,normal,rare,1,58146,742a7487-70a2-448b-8e66-c33cba798a32,0.36,false,false,near_mint,en,USD
Hellspur Posse Boss,OTJ,Outlaws of Thunder Junction,333,normal,rare,1,93092,259262b9-f74b-4e71-9c4e-cf18ba2dc3c2,0.34,false,false,near_mint,en,USD
"Drakuseth, Maw of Flames",CMM,Commander Masters,218,normal,rare,1,84882,cbe78a66-2e72-4bd8-b8a4-db77a63f36b3,0.58,false,false,near_mint,en,USD
Runaway Steam-Kin,PGRN,Guilds of Ravnica Promos,115s,foil,rare,1,183,849a9676-26d2-4cfd-8e3e-76c01db79398,5.11,false,false,near_mint,en,USD
Savage Alliance,EMN,Eldritch Moon,140,normal,uncommon,1,8194,b5255da8-8511-48a7-98e5-ba43ca6e8681,0.09,false,false,near_mint,en,USD
Avacyn's Judgment,C19,Commander 2019,134,normal,rare,1,45800,498584b6-b9f8-4648-8536-a4f542a2a374,0.09,false,false,near_mint,en,USD
