Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Laboratory Maniac,ISD,Innistrad,61,normal,rare,1,18837,809205f3-acf5-4244-b360-09ce4ba76795,1.29,false,false,near_mint,en,USD
Energy Tap,4ED,Fourth Edition,69,normal,common,1,40118,9f67692d-9df6-4841-a36b-26c28110b63b,0.39,false,false,near_mint,en,USD
Cloud of Faeries,DMR,Dominaria Remastered,43,foil,common,1,78180,ed95f539-1d8b-408b-9af2-8c6f93fb98c8,0.38,false,false,near_mint,en,USD
Stubborn Denial,KTK,Khans of Tarkir,56,normal,uncommon,1,13342,6f8626c4-306f-4e9d-8840-2bb73fe87e87,3.88,false,false,near_mint,en,USD
Pongify,M3C,Modern Horizons 3 Commander,190,normal,uncommon,1,95033,cb504714-b034-4938-93ad-7cb2ae320829,1.78,false,false,near_mint,en,USD
Commandeer,OTP,Breaking News,9,normal,rare,1,93389,e473db8a-ee0e-4753-aaab-76eda5808075,0.59,false,false,near_mint,en,USD
Emrakul's Messenger,MH3,Modern Horizons 3,61,foil,uncommon,1,94674,f0f818d7-320c-47b9-a083-40007f3d91ea,1.73,false,false,near_mint,en,USD
Thing in the Ice // Awoken Horror,SOI,Shadows over Innistrad,92,normal,rare,1,8904,359d1b13-6156-43b0-a9a7-6bfff36c1a91,0.48,false,false,near_mint,en,USD
Spell Pierce,XLN,Ixalan,81,foil,common,1,3931,6bf4dfc0-c58b-4535-b660-54ceaa6e0217,1.99,false,false,near_mint,en,USD
Spell Pierce,2X2,Double Masters 2022,350,normal,common,2,70528,d3c8f1c8-2b57-41a3-abeb-77ac7de62fa1,0.65,false,false,near_mint,en,USD
Counterspell,A25,Masters 25,50,normal,common,1,2666,cca8eb95-d071-46a4-885c-3da25b401806,1.92,false,false,near_mint,en,USD
Counterspell,4ED,Fourth Edition,65,normal,uncommon,1,40122,e8493631-6c9c-40a8-b7de-ecf26ba6bf7d,2.18,false,false,near_mint,en,USD
Counterspell,DMR,Dominaria Remastered,45,normal,common,1,77761,02da8709-4228-4fed-9d2d-781e686661df,2.17,false,false,near_mint,en,USD
Counterspell,EMA,Eternal Masters,43,normal,common,1,8632,0c9a7cb0-5bff-48ff-b620-2838816ac9b5,1.95,false,false,near_mint,en,USD
Serum Visions,F15,Friday Night Magic 2015,8,foil,rare,2,12205,7dede475-9597-4f8a-9cee-9bc86b283aa9,0.91,false,false,near_mint,en,USD
Spellstutter Sprite,F11,Friday Night Magic 2011,2,foil,rare,1,20463,81fa2e36-f89b-42f9-946e-e2ca2b2ad75f,13.54,false,false,near_mint,en,USD
Aethersquall Ancient,DRC,Aetherdrift Commander,68,normal,rare,1,102935,192882f3-88bc-4fcf-b57c-31108401e4bd,0.1,false,false,near_mint,en,USD
Daze,EMA,Eternal Masters,44,normal,uncommon,1,8631,f05e9a3e-8a35-4687-85cb-e31b3927a5e2,2.26,false,false,near_mint,en,USD
High Tide,DMR,Dominaria Remastered,419,normal,uncommon,1,77812,1f2400cc-987b-49de-8ac7-3d4b12c4200a,1.64,false,false,near_mint,en,USD
Trinket Mage,SOM,Scars of Mirrodin,48,normal,uncommon,1,20984,cb52e7ba-5340-44e1-9b63-775e1f387925,0.37,false,false,near_mint,en,USD
