Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
"Ertha Jo, Frontier Mentor",OTJ,Outlaws of Thunder Junction,203,foil,uncommon,1,93294,a4e81be6-6447-4f1e-be00-6fcdb2ab35af,0.12,false,false,near_mint,en,USD
Stormcatch Mentor,BLB,Bloomburrow,234,normal,uncommon,1,95813,99754055-6d67-4fde-aff3-41f6af6ea764,0.29,false,false,near_mint,en,USD
"Mazzy, Truesword Paladin",CLB,Commander Legends: Battle for Baldur's Gate,283,normal,rare,1,69008,4d79c221-e07a-41e1-b92f-dc057802449c,0.08,false,false,near_mint,en,USD
Zur the Enchanter,DMR,Dominaria Remastered,374,foil,rare,2,77790,17188ab9-0fd1-43af-be3b-6e37c55cda9c,0.72,false,false,near_mint,en,USD
"Genku, Future Shaper",MH3,Modern Horizons 3,373,normal,rare,1,94612,c853b432-e5cc-4637-b496-5e9e4620727f,0.18,false,false,near_mint,en,USD
Woodvine Elemental,CNS,Conspiracy,52,normal,uncommon,1,14368,8acdb147-2339-4c55-b4f6-6a79679f2040,0.13,false,false,near_mint,en,USD
Renegade Rallier,AER,Aether Revolt,133,normal,uncommon,1,6281,90bad312-80e3-45b0-9556-60ce06808a47,0.18,false,false,near_mint,en,USD
"Sigurd, Jarl of Ravensthorpe",ACR,Assassin's Creed,66,foil,rare,1,95318,25ceade9-f12a-4724-b198-312fb4b1210b,1.31,false,false,near_mint,en,USD
"Kaheera, the Orphanguard",MUL,Multiverse Legends,47,normal,rare,1,81467,e9c296d0-ad8d-4139-97c4-e36c4af3d3c9,0.57,false,false,near_mint,en,USD
"Sokrates, Athenian Teacher",ACR,Assassin's Creed,121,normal,rare,1,95443,a0b107dc-387e-4c92-a273-6cb44a485caa,1.64,false,false,near_mint,en,USD
"Raphael, Fiendish Savior",CLB,Commander Legends: Battle for Baldur's Gate,549,etched,rare,1,68979,3ee93ebf-710c-4c8b-a62b-26c41d8a5406,0.33,false,false,near_mint,en,USD
Queen Kayla bin-Kroog,PBRO,The Brothers' War Promos,218p,normal,rare,1,76948,423e6a89-e936-4361-90c4-44321555d5bb,0.22,false,false,near_mint,en,USD
"Kenrith, the Returned King",MUL,Multiverse Legends,4,normal,mythic,1,81368,5ed8b9c5-8b09-40a0-ae08-bc7a7a391256,2.88,false,false,near_mint,en,USD
Leyline of the Guildpact,PMKM,Murders at Karlov Manor Promos,217p,normal,rare,1,91517,92469701-8b22-4ad1-bd82-8e6445d58ca0,4.55,false,false,near_mint,en,USD
"Tatyova, Benthic Druid",DMR,Dominaria Remastered,203,normal,uncommon,1,78073,a8953672-b1ae-4f0a-8107-e28322fc16b7,0.16,false,false,near_mint,en,USD
"Elmar, Ulvenwald Informant",SLX,Universes Within,4,normal,rare,1,67446,95d197b3-fc56-43a2-981f-b5b905222b5c,0.22,false,false,near_mint,en,USD
Hostage Taker,2X2,Double Masters 2022,227,normal,rare,1,70557,e1481378-25c3-4f8d-93bc-0a433f467dca,0.22,false,false,near_mint,en,USD
Elsha of the Infinite,2X2,Double Masters 2022,208,normal,rare,1,70469,c0728027-a1ec-4814-87c4-10c3baced0e0,0.93,false,false,near_mint,en,USD
"Urza, Prince of Kroog",BRO,The Brothers' War,226,normal,rare,1,75480,5a7329cd-95af-4d71-984f-f5f28982520c,0.36,false,false,near_mint,en,USD
Judge's Familiar,RTR,Return to Ravnica,218,normal,uncommon,2,17204,0fc51899-3970-416b-b7de-fadbc9678955,0.21,false,false,near_mint,en,USD
"Ruby, Daring Tracker",WOE,Wilds of Eldraine,212,normal,uncommon,1,85870,ffb5786b-6825-4ebf-a1e1-80011340adbb,0.07,false,false,near_mint,en,USD
"Flamewar, Brash Veteran // Flamewar, Streetwise Operative",BOT,Transformers,10,normal,mythic,1,76032,876d9732-9201-4327-8748-7c87ec55453f,0.48,false,false,near_mint,en,USD
Bartolomé del Presidio,LCI,The Lost Caverns of Ixalan,409,normal,uncommon,1,88795,aade7c6c-fa34-4f69-9b5d-cf57a5341ccc,0.27,false,false,near_mint,en,USD
"Muerra, Trash Tactician",BLB,Bloomburrow,227,normal,rare,1,95821,b40e4658-fd68-46d0-9a89-25570a023d19,0.18,false,false,near_mint,en,USD
"Winter, Misanthropic Guide",DSK,Duskmourn: House of Horror,240,normal,rare,1,98674,e9b81421-44cb-440f-a6ac-3ddf620f1989,0.07,false,false,near_mint,en,USD
Razorfin Hunter,PLST,The List,APC-119,normal,common,1,97680,51d9b474-04b9-41d4-8982-6ba32c6f61d0,0.2,false,false,near_mint,en,USD
"Aragorn, King of Gondor",LTC,Tales of Middle-earth Commander,85,foil,mythic,1,83605,e8254ddc-2fdf-4920-8843-919e15782195,2.33,false,false,near_mint,en,USD
"Grenzo, Dungeon Warden",CNS,Conspiracy,47,normal,rare,1,14373,48f98efa-be00-493b-94d0-b7d4968a6399,0.32,false,false,near_mint,en,USD
"Niv-Mizzet, Parun",RVR,Ravnica Remastered,207,foil,rare,1,89755,7be6bedd-8d38-4bd9-aa93-29f88a7f0126,3.5,false,false,near_mint,en,USD
"Umori, the Collector",IKO,Ikoria: Lair of Behemoths,231,normal,rare,1,49846,75ac31e0-ac70-4ee6-b2b1-cc445ffa1da9,0.16,false,false,near_mint,en,USD
Notion Thief,ZNC,Zendikar Rising Commander,96,normal,rare,1,55502,f675f509-4343-4568-96dd-265626cb6c2b,0.61,false,false,near_mint,en,USD
"Falco Spara, Pactweaver",SNC,Streets of New Capenna,307,normal,mythic,1,67623,17bbac59-da58-49d8-887e-272dd90724b4,3.96,false,false,near_mint,en,USD
Brokers Charm,SNC,Streets of New Capenna,298,normal,uncommon,1,67599,0aac0943-6c9a-4c65-9d17-3ca0f2ba2340,0.07,false,false,near_mint,en,USD
Insidious Roots,MKM,Murders at Karlov Manor,313,foil,uncommon,1,90918,61c9e0ae-38c0-4618-b664-16a9ad1661c1,3.99,false,false,near_mint,en,USD
Break Out,MKM,Murders at Karlov Manor,190,normal,uncommon,1,91043,8c628476-0987-47d4-8d2a-cfc3977b2357,0.12,false,false,near_mint,en,USD
Huntmaster of the Fells // Ravager of the Fells,INR,Innistrad Remastered,470,foil,rare,1,101856,2ec38d40-3f96-46d4-a0ec-0b98aa622ebc,0.23,false,false,near_mint,en,USD
Shao Jun,ACR,Assassin's Creed,151,foil,uncommon,1,95431,9313f099-7f76-4b3e-af6a-f62b13cad7b8,0.11,false,false,near_mint,en,USD
Flame of Anor,LTR,The Lord of the Rings: Tales of Middle-earth,203,normal,rare,1,82828,04779a7e-b453-48b9-b392-6d6fd0b8d283,2.83,false,false,near_mint,en,USD
Agatha of the Vile Cauldron,WOE,Wilds of Eldraine,199,foil,mythic,1,85748,d6c48f07-63b7-4a60-8da6-ce77405abf1e,1.46,false,false,near_mint,en,USD
Jeskai Revelation,TDM,Tarkir: Dragonstorm,196,foil,mythic,1,104565,3cac0ad3-5107-4ed6-a688-d44bbd65e407,0.8,false,false,near_mint,en,USD
New Way Forward,TDM,Tarkir: Dragonstorm,367,normal,rare,1,104721,6ebc8ee7-3a1c-49f7-aa67-ff68c377e38c,0.25,false,false,near_mint,en,USD
"Kaalia, Zenith Seeker",M20,Core Set 2020,210,normal,mythic,1,45250,1f400655-f495-4b21-ab9e-57fe4d845d45,8.94,false,false,near_mint,en,USD
Emergency Powers,RNA,Ravnica Allegiance,169,normal,mythic,1,43696,6473a93f-879f-4f44-8650-ee05a647c763,0.86,false,false,near_mint,en,USD
Obscura Charm,SNC,Streets of New Capenna,323,normal,uncommon,1,67731,4a02b758-65b6-4c25-83b9-de63a1a92b51,0.08,false,false,near_mint,en,USD
Slitherwisp,IKO,Ikoria: Lair of Behemoths,345,normal,rare,1,49732,d2a641ad-4268-46c4-a5fb-c1515e52d648,0.43,false,false,near_mint,en,USD
Assassin's Trophy,2X2,Double Masters 2022,175,foil,rare,1,70437,aeb63464-d06b-4626-a57a-1e393ef04a58,3.48,false,false,near_mint,en,USD
"Olivia, Opulent Outlaw",OTC,Outlaws of Thunder Junction Commander,2,normal,mythic,1,93635,55e6c31b-f9e9-4e42-a875-985d99300d9d,1.88,false,false,near_mint,en,USD
Murkfiend Liege,2X2,Double Masters 2022,259,normal,rare,1,70076,16677645-f635-4183-8afc-056520b94122,2.88,false,false,near_mint,en,USD
The Everflowing Well // The Myriad Pools,LCI,The Lost Caverns of Ixalan,56,foil,rare,1,88861,bf573fb7-fa6c-4df7-8e5e-1e071585361e,0.27,false,false,near_mint,en,USD
Temur Ascendancy,TDC,Tarkir: Dragonstorm Commander,305,normal,rare,1,104672,5cedb54a-a6f6-48aa-acdf-01c988c1c37d,3.63,false,false,near_mint,en,USD
Bard Class,AFR,Adventures in the Forgotten Realms,217,normal,rare,1,60208,37d6343a-c514-4ca6-a415-62d1a473ae20,0.69,false,false,near_mint,en,USD
"Alania, Divergent Storm",BLB,Bloomburrow,204,normal,rare,1,95776,436d6a84-4cea-4ca7-94aa-9d08280652af,0.12,false,false,near_mint,en,USD
"Zoraline, Cosmos Caller",BLB,Bloomburrow,242,normal,rare,1,95879,b7f99fd5-5298-4b27-923d-9d31203c931a,0.36,false,false,near_mint,en,USD
Kiora's Follower,PBNG,Born of the Gods Promos,150,normal,uncommon,1,14961,79f1d9d5-c778-4d35-be6c-d7d34ab1c85f,2.71,false,false,near_mint,en,USD
Marhault Elsdragon,LEG,Legends,244,normal,uncommon,1,40875,67330004-6720-46d9-9de0-c79230110583,3.29,false,false,near_mint,en,USD
Mundungu,VIS,Visions,132,normal,uncommon,1,38041,d6e320ca-848b-4743-93f1-ec04ef1ce402,0.29,false,false,near_mint,en,USD
Lim-Dûl's Paladin,ALL,Alliances,108,normal,uncommon,1,38699,44be2d66-359e-4cc1-9670-119cb9c7d5f5,0.22,false,false,near_mint,en,USD
Jhessian Zombies,ARB,Alara Reborn,22,normal,common,1,23486,14d3f7fd-f414-4c17-ad63-c8b39bde301d,0.14,false,false,near_mint,en,USD
Mortality Spear,STX,Strixhaven: School of Mages,380,normal,uncommon,1,57996,0ddfc5f7-911b-4159-8540-530d642d0e7c,0.42,false,false,near_mint,en,USD
Murderous Redcap,SHM,Shadowmoor,192,normal,uncommon,1,24674,5f7171f0-7d42-47c9-ab46-93c2bb42c914,0.76,false,false,near_mint,en,USD
Knotvine Mystic,CON,Conflux,114,normal,uncommon,1,23615,f6372fa0-e9c8-45d0-a3b8-72eb191c6b26,0.48,false,false,near_mint,en,USD
Lava Zombie,PLS,Planeshift,113,normal,common,1,32837,fd87185b-1242-4fb3-abee-44bc267ee5fb,0.17,false,false,near_mint,en,USD
Lotuslight Dancers,TDM,Tarkir: Dragonstorm,363,normal,rare,1,104751,79dc69dc-6245-43fc-95a2-85b2c2957182,0.26,false,false,near_mint,en,USD
Imskir Iron-Eater,MH3,Modern Horizons 3,189,normal,rare,1,94452,541209fa-38b6-4d61-a72d-26bfb6ad5ead,0.13,false,false,near_mint,en,USD
Hollowmurk Siege,TDM,Tarkir: Dragonstorm,387,normal,rare,1,104922,bd9a6427-09cc-4ddf-88a6-fc23498a7c08,1.09,false,false,near_mint,en,USD
Temur Battlecrier,TDM,Tarkir: Dragonstorm,228,normal,rare,1,104309,72184791-0767-4108-920c-763e92dae2d4,0.35,false,false,near_mint,en,USD
Roar of Endless Song,TDM,Tarkir: Dragonstorm,220,foil,rare,1,104755,7a9c3531-61a8-43f5-82a2-5166e5f5a6b9,0.2,false,false,near_mint,en,USD
Eshki Dragonclaw,TDM,Tarkir: Dragonstorm,356,foil,rare,1,104877,aafaa59e-87e1-4953-8c04-8e7a3a509827,0.79,false,false,near_mint,en,USD
Dragonback Assault,TDM,Tarkir: Dragonstorm,179,foil,mythic,1,104985,d54cc838-d79d-433a-99fb-d6e4d1c1431d,2.93,false,false,near_mint,en,USD
Drag the Canal,MKM,Murders at Karlov Manor,199,normal,rare,1,90860,508d7096-2be3-4d4b-a55c-d4dbd3c9019c,0.07,false,false,near_mint,en,USD
The Jolly Balloon Man,DSK,Duskmourn: House of Horror,359,normal,rare,1,98629,594df270-02d0-438b-a758-c32d71e8d4ff,1.16,false,false,near_mint,en,USD
Marina Vendrell,DSK,Duskmourn: House of Horror,360,foil,rare,1,99417,f6424845-7e9b-4514-93aa-1cf6c45f634c,1.05,false,false,near_mint,en,USD
The Lord of Pain,DSC,Duskmourn: House of Horror Commander,3,foil,mythic,1,99135,494c244e-dcdc-4169-9743-8a61f58e8763,6.94,false,false,near_mint,en,USD
"Florian, Voldaren Scion",DSC,Duskmourn: House of Horror Commander,217,normal,rare,1,99095,3377d600-e43f-4cce-ae3f-541e519ee4ad,0.21,false,false,near_mint,en,USD
"Kardur, Doomscourge",DSC,Duskmourn: House of Horror Commander,223,normal,uncommon,1,99225,7c0f7712-7bbf-471b-8107-3a49cf922ad9,0.58,false,false,near_mint,en,USD
Moritte of the Frost,KHM,Kaldheim,223,normal,uncommon,1,56785,22fdbe71-abca-4e48-99b2-1cb6b35d930b,0.15,false,false,near_mint,en,USD
"Wayta, Trainer Prodigy",LCC,The Lost Caverns of Ixalan Commander,32,normal,mythic,1,88282,103bbad8-afaf-4e34-b6d2-9cb9b312d39f,0.81,false,false,near_mint,en,USD
Bedevil,OTP,Breaking News,37,normal,rare,1,93089,2473bb43-4de4-402a-884b-42fd9fcadd7d,0.29,false,false,near_mint,en,USD
"Ayli, Eternal Pilgrim",PLST,The List,OGW-151,normal,rare,1,97931,7ee06259-06ab-4e8d-b2a4-6fbb46150ddb,0.27,false,false,near_mint,en,USD
Daxos of Meletis,THS,Theros,191,normal,rare,1,15473,6bb68644-e99d-4ecb-a804-8d4ad1c3325d,0.13,false,false,near_mint,en,USD
"Wayta, Trainer Prodigy",LCC,The Lost Caverns of Ixalan Commander,7,normal,mythic,1,88234,04f2d7ee-43a4-48e8-af64-d9fad4b9c5f1,0.25,false,false,near_mint,en,USD
Vraska the Unseen,C19,Commander 2019,207,normal,mythic,1,45727,a6ab9d2b-6cb3-4477-8d0e-712c530383bd,0.47,false,false,near_mint,en,USD
"Gisela, Blade of Goldnight",MKC,Murders at Karlov Manor Commander,211,normal,mythic,1,90447,900b8908-ba51-472e-ab7a-43bd07f90577,0.93,false,false,near_mint,en,USD
"Aurelia, the Law Above",MKM,Murders at Karlov Manor,357,normal,rare,1,90688,1c5598d3-b66b-42a2-aa43-d2785c1bfe36,1.15,false,false,near_mint,en,USD
"Niv-Mizzet, Guildpact",MKM,Murders at Karlov Manor,368,foil,rare,1,90621,02f2fcaf-97d6-441a-bdde-fb105ffad1c5,0.45,false,false,near_mint,en,USD
Relive the Past,MKM,Murders at Karlov Manor,419,normal,rare,1,91082,9ffadebd-a7ef-4a75-918a-284d509b11c5,0.09,false,false,near_mint,en,USD
Rediscover the Way,TDM,Tarkir: Dragonstorm,388,normal,rare,1,104331,9f0797b4-7e06-4f64-95f3-3a7d694d601a,0.31,false,false,near_mint,en,USD
"Runo Stromkirk // Krothuss, Lord of the Deep",VOW,Innistrad: Crimson Vow,246,foil,rare,1,64475,f6c0fca5-b759-4543-95e2-8d712aae5281,0.29,false,false,near_mint,en,USD
"Winter, Cursed Rider",DFT,Aetherdrift,228,normal,rare,1,102887,02d46d0e-3161-45b5-a49e-5cd592c67ddd,0.09,false,false,near_mint,en,USD
