Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Hydroblast,EMA,Eternal Masters,55,normal,uncommon,1,8620,4c9c9b16-5567-4473-95e6-622292f77336,2.61,False,False,near_mint,en,USD
Brainstorm,MKC,Murders at Karlov Manor Commander,96,normal,common,1,90431,84479779-d570-4eee-9982-f6e918b4d75b,2.0,False,False,near_mint,en,USD
Brainstorm,CNS,Conspiracy,91,normal,common,1,14329,7d14cecb-c425-4812-8d36-aecc406763c4,3.41,False,False,near_mint,en,USD
Loyal Drake,C18,Commander 2018,10,normal,uncommon,1,833,1c719b37-6508-45bc-8cda-36aa85561e3b,2.17,False,False,near_mint,en,USD
Lullmage Mentor,ZEN,Zendikar,54,normal,rare,1,22570,e34de3df-3236-4281-a043-7583c76d89cc,2.02,False,False,near_mint,en,USD
Galecaster Colossus,C17,Commander 2017,10,normal,rare,1,4445,9e57f6be-44d0-4823-a130-b79dbd025994,2.18,False,False,near_mint,en,USD
Narset's Reversal,WAR,War of the Spark,62,normal,rare,1,44342,63754036-d51e-47bb-925b-564d9dc922ff,2.93,False,False,near_mint,en,USD
Jace's Archivist,C13,Commander 2013,48,normal,rare,1,15338,853e58c2-c647-4b7a-8020-8782fa24a404,6.57,False,False,near_mint,en,USD
Lord of Change,40K,"Warhammer 40,000 Commander",24,normal,rare,1,72579,f9099d82-c13a-480d-b4bc-ecf8b810427c,3.51,False,False,near_mint,en,USD
Wonder,JUD,Judgment,54,foil,uncommon,1,31544,44670666-9028-4b4a-a5af-a3bf35fc6a21,41.02,False,False,near_mint,en,USD
Trade Routes,MMQ,Mercadian Masques,112,normal,rare,1,34298,eeaba189-b215-4d1c-9135-a86ce5ec955d,4.06,False,False,near_mint,en,USD
Snapcaster Mage,ISD,Innistrad,78,normal,rare,1,18820,9e5b279e-4670-4a1e-87d0-3cab7e4f9e58,11.9,False,False,near_mint,en,USD
